2026-02-22 16:07:14,397 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:07:46,468 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:08:16,504 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:08:48,527 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:09:18,579 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:09:50,628 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:10:20,676 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:10:52,705 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:11:22,754 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:11:54,786 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:12:24,834 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:12:56,865 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:13:26,912 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:13:58,964 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:14:29,013 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:15:01,043 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:15:31,091 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:16:03,165 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:16:33,214 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:17:05,244 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:17:35,292 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:18:07,365 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:18:37,414 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:19:09,447 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:19:39,500 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:20:11,566 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:20:41,615 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:21:13,643 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:21:43,692 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:22:15,761 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:22:45,809 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:23:17,842 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:23:47,890 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:24:19,961 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:24:50,010 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:25:22,039 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:25:52,089 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:26:24,159 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:26:54,206 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:27:26,238 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:27:56,286 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:28:28,356 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:28:58,405 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:29:30,439 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:30:00,488 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:30:32,558 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:31:02,606 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:31:34,637 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:32:04,686 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:32:36,758 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:33:06,807 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:33:38,835 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:34:08,886 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:34:40,954 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:35:11,004 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:35:43,036 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:36:13,084 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:36:45,154 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:37:15,202 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:37:47,235 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:38:17,284 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:38:49,354 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:39:19,405 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:39:51,433 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:40:21,482 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:40:53,552 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:41:23,601 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:41:55,632 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:42:25,681 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:42:57,751 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:43:27,799 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:43:59,832 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:44:29,881 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:45:01,951 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:45:32,000 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:46:04,030 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:46:34,079 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 16:47:06,150 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 16:47:36,200 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
